,True Pos,False Pos,False Neg,True Neg,Errors,Eficiency
9047,173,39.0,10,1170.0,1,96.47988505747126
9048,163,38.0,9,1182.0,1,96.62356321839081
9049,177,32.0,14,1170.0,0,96.69777458722182
9050,169,35.0,8,1180.0,1,96.91091954022988
9051,200,37.0,6,1150.0,0,96.91313711414213
9052,194,31.0,8,1159.0,1,97.19827586206897
9053,162,34.0,14,1183.0,0,96.55419956927494
9054,190,32.0,13,1158.0,0,96.76956209619526
9055,185,38.0,16,1153.0,1,96.12068965517241
9056,183,35.0,9,1165.0,1,96.83908045977012
9057,175,31.0,10,1175.0,2,97.05248023005032
9058,164,36.0,13,1179.0,1,96.47988505747126
9059,171,38.0,11,1173.0,0,96.4824120603015
9060,171,26.0,10,1186.0,0,97.4156496769562
9061,180,37.0,7,1169.0,0,96.8413496051687
9062,171,32.0,8,1182.0,0,97.12849964106246
9063,176,32.0,11,1174.0,0,96.91313711414213
9064,168,33.0,7,1183.0,2,97.12437095614665
9065,195,29.0,12,1157.0,0,97.05671213208902
9066,172,35.0,9,1177.0,0,96.8413496051687
9067,188,42.0,13,1149.0,1,96.04885057471265
9068,169,33.0,13,1178.0,0,96.69777458722182
9069,186,39.0,10,1158.0,0,96.4824120603015
9070,189,34.0,13,1156.0,1,96.62356321839081
9071,163,32.0,6,1192.0,0,97.27207465900933
9072,180,36.0,7,1170.0,0,96.91313711414213
9073,177,33.0,15,1168.0,0,96.55419956927494
9074,159,29.0,14,1191.0,0,96.91313711414213
9075,173,34.0,10,1175.0,1,96.83908045977012
9076,178,40.0,10,1164.0,1,96.4080459770115
9077,190,24.0,11,1167.0,1,97.48563218390804
9078,181,30.0,10,1172.0,0,97.12849964106246
9079,177,45.0,8,1162.0,1,96.1925287356322
9080,186,32.0,11,1164.0,0,96.91313711414213
9081,174,33.0,14,1172.0,0,96.62598707824839
9082,172,19.0,13,1189.0,0,97.70279971284997
9083,185,30.0,8,1170.0,0,97.27207465900933
9084,194,28.0,13,1157.0,1,97.05459770114942
9085,187,37.0,13,1155.0,1,96.4080459770115
9086,182,38.0,9,1164.0,0,96.62598707824839
9087,193,33.0,8,1158.0,1,97.05459770114942
9088,176,37.0,9,1171.0,0,96.69777458722182
9089,175,34.0,10,1174.0,0,96.8413496051687
9090,180,31.0,11,1171.0,0,96.98492462311557
9091,153,31.0,10,1198.0,1,97.05459770114942
9092,178,37.0,6,1171.0,1,96.91091954022988
9093,182,37.0,12,1162.0,0,96.4824120603015
9094,197,32.0,19,1145.0,0,96.33883704235463
9095,165,27.0,6,1195.0,0,97.63101220387652
9096,168,29.0,8,1187.0,1,97.3419540229885
9097,163,30.0,16,1183.0,1,96.69540229885058
9098,165,39.0,10,1179.0,0,96.4824120603015
9099,165,35.0,14,1179.0,0,96.4824120603015
9100,173,36.0,11,1172.0,1,96.62356321839081
9101,177,34.0,14,1168.0,0,96.55419956927494
9102,170,35.0,6,1182.0,0,97.05671213208902
9103,182,43.0,10,1156.0,2,96.18979151689432
9104,184,36.0,13,1160.0,0,96.4824120603015
9105,165,28.0,12,1186.0,2,97.12437095614665
9106,198,27.0,15,1152.0,1,96.98275862068965
9107,190,37.0,7,1158.0,1,96.83908045977012
9108,187,38.0,11,1156.0,1,96.47988505747126
9109,163,28.0,5,1197.0,0,97.63101220387652
9110,182,33.0,13,1165.0,0,96.69777458722182
9111,185,37.0,8,1163.0,0,96.76956209619526
9112,175,31.0,16,1171.0,0,96.62598707824839
9113,174,45.0,8,1165.0,1,96.1925287356322
9114,171,27.0,14,1181.0,0,97.05671213208902
9115,166,36.0,12,1177.0,2,96.54924514737598
9116,177,34.0,11,1171.0,0,96.76956209619526
9117,176,31.0,10,1175.0,1,97.05459770114942
9118,161,27.0,7,1198.0,0,97.5592246949031
9119,182,38.0,10,1162.0,1,96.55172413793103
9120,171,37.0,12,1172.0,1,96.47988505747126
9121,181,34.0,14,1164.0,0,96.55419956927494
9122,168,27.0,14,1184.0,0,97.05671213208902
9123,179,30.0,8,1176.0,0,97.27207465900933
9124,185,24.0,11,1172.0,1,97.48563218390804
9125,185,39.0,14,1155.0,0,96.19526202440775
9126,169,30.0,7,1186.0,1,97.3419540229885
9127,173,32.0,11,1177.0,0,96.91313711414213
9128,175,33.0,12,1173.0,0,96.76956209619526
9129,189,34.0,11,1158.0,1,96.76724137931035
9130,194,34.0,13,1150.0,2,96.62113587347233
9131,162,35.0,15,1181.0,0,96.41062455132807
9132,178,40.0,13,1161.0,1,96.1925287356322
9133,181,40.0,8,1164.0,0,96.55419956927494
9134,188,34.0,12,1159.0,0,96.69777458722182
9135,172,41.0,12,1168.0,0,96.19526202440775
9136,185,38.0,9,1160.0,1,96.62356321839081
9137,171,42.0,4,1175.0,1,96.69540229885058
9138,183,33.0,12,1165.0,0,96.76956209619526
9139,205,31.0,13,1143.0,1,96.83908045977012
9140,164,36.0,7,1186.0,0,96.91313711414213
9141,195,37.0,10,1150.0,1,96.62356321839081
9142,167,34.0,11,1181.0,0,96.76956209619526
9143,170,38.0,10,1174.0,1,96.55172413793103
